開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
平成29年,4月,労働衛生,11,塩素,ジクロロベンジジン,アンモニア,クロム酸,アセトン,5,次の化学物質のうち、常温・常圧(25°C、1気圧)の空気中で蒸気として存在するものはどれか。ただし、蒸気とは、常温・常圧で液体又は固体の物質が蒸気圧に応じて揮発又は昇華して気体となっているものをいうものとする。,蒸気とは、常温常圧で液体または固体の物質が蒸気圧に応じて揮発・昇華して気体になったものを指します。正答⑤のアセトンは常温常圧で液体であり、揮発して空気中に蒸気として存在します。塩素とアンモニアは常温常圧でもともとガス状の物質であり蒸気ではありません。ジクロロベンジジンとクロム酸は固体で昇華量が極めて少ないため、蒸気として実質的には存在しないと判断されます。ガスと蒸気の定義の違いを正確に理解することが重要です。
平成29年,4月,労働衛生,12,有機溶剤は、水溶性と脂溶性をともに有し、その蒸気は空気より軽い。,有機溶剤は、揮発性が高いため呼吸器から吸収されやすいが、皮膚から吸収されることはない。,キシレンのばく露の生物学的モニタリングの指標としての尿中代謝物は、馬尿酸である。,メタノールによる健康障害として顕著なものは、網膜細動脈瘤を伴う脳血管障害である。,低濃度の有機溶剤の繰り返しばく露では、頭痛、めまい、記憶力減退、不眠などの不定愁訴がみられる。,5,有機溶剤に関する次の記述のうち、正しいものはどれか。,有機溶剤の蒸気は一般的に空気より重く低所に滞留します（①の「空気より軽い」は誤）。また皮膚からも吸収されます（②の「皮膚から吸収されない」は誤）。キシレンの尿中代謝物はメチル馬尿酸であり馬尿酸ではありません（③誤）。メタノールは視神経障害・失明を引き起こし脳血管障害ではありません（④誤）。正答⑤の低濃度繰り返し暴露による頭痛・めまい・記憶力減退・不眠などの不定愁訴が正しい記述です。有機溶剤各論は頻出です。
平成29年,4月,労働衛生,13,"人が聴くことのできる音の周波数は10Hzから30,000Hz程度までで、会話音域は2,000Hzから4,000Hz程度までである。",騒音性難聴では、通常の会話音より低い音から聞こえにくくなる。,騒音性難聴は、音を神経に伝達する内耳の蝸牛の中の有毛細胞が変性することにより起こる。,"等価騒音レベルは、中心周波数500Hz、1,000Hz、2,000Hz及び4,000Hzの各オクターブバンドの騒音レベルの平均値で、変動する騒音に対する人間の生理・心理的反応とよく対応する。",騒音は、自律神経系や内分泌系へも影響を与えるため、騒音ばく露により、ストレス反応である副腎皮質ホルモンの分泌の減少が認められる。,3,作業環境における騒音及びそれによる健康障害に関する次の記述のうち、正しいものはどれか。,"騒音性難聴は内耳の蝸牛（かぎゅう）の中にある有毛細胞が変性・破壊されることで起こる感音性難聴です（正答③）。人の可聴域は約20Hzから20,000Hz程度であり「10Hzから30,000Hz」は誤り（①誤）、騒音性難聴は会話音域よりも高い音域から聞こえにくくなります（②誤）。また騒音暴露は自律神経系にも影響を与え、副腎皮質ホルモンの分泌は「減少」ではなく増加します（⑤誤）。有毛細胞は再生しないため早期発見が重要です。"
平成29年,4月,労働衛生,14,電離放射線の被ばくによる発がんと遺伝的影響は、確率的影響に分類され、発生する確率が被ばく線量の増加に応じて増加する。,熱虚脱は、暑熱環境下で脳へ供給される血液量が増加したとき、代償的に心拍数が減少することにより生じ、発熱、徐脈、めまいなどの症状がみられる。,金属熱は、金属の溶融作業において、高温環境により体温調節中枢が麻痺することにより発生し、長期間にわたる発熱、関節痛などの症状がみられる。,凍瘡は、皮膚組織の凍結壊死を伴うしもやけのことで、0°C以下の寒冷にばく露することによって発生する。,潜水業務における減圧症は、浮上による減圧に伴い、血液中に溶け込んでいた酸素が気泡となり、血管を閉塞したり組織を圧迫することにより発生する。,1,作業環境における有害因子による健康障害に関する次の記述のうち、正しいものはどれか。,電離放射線による発がんと遺伝的影響は確率的影響に分類され、閾値（これ以下では発生しない下限値）がなく、被ばく線量が増加するほど発生確率が高まります（正答①）。熱虚脱は脳への血液供給が「低下」して起こるもので（②誤）、金属熱は高温ではなく亜鉛などの金属ヒューム吸入が原因です（③誤）。凍瘡は0℃以上の寒冷でも発生し（④誤）、減圧症は酸素ではなく窒素気泡が原因です（⑤誤）。確率的影響と確定的影響の区別は頻出です。
平成29年,4月,労働衛生,15,一酸化炭素による中毒では、ヘモグロビン合成の障害による貧血、溶血などがみられる。,シアン化水素による中毒では、細胞内での酸素利用の障害による呼吸困難、痙攣けいれんなどがみられる。,硫化水素による中毒では、意識消失、呼吸麻痺などがみられる。,二酸化硫黄による慢性中毒では、慢性気管支炎、歯牙酸蝕症などがみられる。,弗化水素による慢性中毒では、骨の硬化、斑状歯などがみられる。,1,化学物質による健康障害に関する次の記述のうち、誤っているものはどれか。,一酸化炭素中毒は、COが血中ヘモグロビンと結合してCO-Hb（カルボキシヘモグロビン）を形成し、酸素の運搬を妨げることで起こります。貧血や溶血を引き起こすのは鉛中毒の症状であり、一酸化炭素中毒の記述としては誤り（正答①）。シアン化水素による細胞内の酸素利用障害（②正）・硫化水素による意識消失と呼吸麻痺（③正）・二酸化硫黄による慢性気管支炎と歯牙酸蝕（④正）・弗化水素による骨硬化と斑状歯（⑤正）はいずれも正しい内容です。
平成29年,4月,労働衛生,16,防毒マスクは、顔面と面体の接顔部とが適切な位置で密着するよう装着し、しめひもについては、耳にかけることなく後頭部において固定する。,防じんマスクの面体の接顔部に接顔メリヤスを使用すると、マスクと顔面との密着性が良くなる。,騒音作業における防音保護具として、耳覆い(イヤーマフ)と耳栓のどちらを選ぶかは、作業の性質や騒音の特性で決まるが、非常に強烈な騒音に対しては両者の併用も有効である。,保護クリームは、作業中に有害な物質が直接皮膚に付着しないようにする目的で塗布するものである。,遮光保護具は、溶接作業における紫外線などによる眼の障害を防ぐために使用する。,2,労働衛生保護具に関する次の記述のうち、誤っているものはどれか。,防じんマスクの接顔部に接顔メリヤスを使用すると、マスクと顔面の間に隙間が生じて密着性が低下し、シール性が損なわれます。接顔メリヤスは汗やかぶれを防ぐためのものであり、密着性を高める目的には使用できません（正答②が誤り）。防毒マスクのしめひもは耳にかけず後頭部で固定する（①正）、非常に強烈な騒音には耳覆いと耳栓の併用が有効（③正）、遮光保護具は溶接時の紫外線等から眼を守る（⑤正）はいずれも正しい記述です。
平成29年,4月,労働衛生,17,管理濃度は、有害物質に関する作業環境の状態を単位作業場所の作業環境測定結果から評価するための指標である。,A測定は、単位作業場所における有害物質の気中濃度の平均的な分布を知るために行う測定である。,A測定の第二評価値が管理濃度を超えている単位作業場所の管理区分は、B測定の結果に関係なく第三管理区分となる。,B測定は、単位作業場所中の有害物質の発散源から遠い場所で作業が行われる場合等において、作業者の位置における有害物質の濃度を知るために行う測定である。,B測定の測定値が管理濃度の1.5倍を超えている単位作業場所の管理区分は、A測定の結果に関係なく第三管理区分となる。,4,厚生労働省の「作業環境測定基準」及び「作業環境評価基準」に基づく作業環境測定及びその結果の評価に関する次の記述のうち、誤っているものはどれか。,B測定は、有害物質の発散源に「近い場所」など作業者が高濃度に暴露される可能性のある箇所で実施する測定です。「発散源から遠い場所」という記述は誤りであり、正答は④です。管理濃度は作業環境の評価指標（①正）、A測定は単位作業場所全体の平均的な濃度分布を把握するための測定（②正）、A測定の第二評価値が管理濃度を超えると第三管理区分（③正）、B測定値が管理濃度の1.5倍を超えると第三管理区分（⑤正）はいずれも正しい内容です。
平成29年,4月,労働衛生,18,ファン空気清浄装置排気ダクト,排気ダクト空気清浄装置ファン,排気ダクトファン空気清浄装置,ファン排気ダクト空気清浄装置,空気清浄装置ファン排気ダクト,5,局所排気装置の基本的な構成に関する次の文中の内に入れるAからCの語句の組合せとして、正しいものは,局所排気装置の基本構成は「フード→吸引ダクト→空気清浄装置→ファン→排気ダクト」の順です。有害物質を含んだ空気をまず空気清浄装置で処理してからファンに通すことで、ファンやモーターへの腐食・汚染を防ぎます。正答⑤が「空気清浄装置→ファン→排気ダクト」の正しい組み合わせを示しています。順序を入れ替えた誤った選択肢が多く出題されるため、フードから排気口まで一連の流れを「フード→ダクト→清浄装置→ファン→排気」と覚えておきましょう。
平成29年,4月,労働衛生,19,有害業務への配置替えの際に行う特殊健康診断には、業務適性の判断と、その後の業務の影響を調べるための基礎資料を得るという目的がある。,有害物質による健康障害は、多くの場合、諸検査の異常などの他覚的所見より自覚症状が先に出現するため、特殊健康診断では問診の重要性が高い。,特殊健康診断では、対象とする特定の健康障害と類似の他の疾患との判別が、一般健康診断よりも一層強く求められる。,特殊健康診断において適切な健診デザインを行うためには、作業内容と有害要因へのばく露状況を把握する必要がある。,有機溶剤は、生物学的半減期が短いので、有機溶剤等健康診断における尿中の代謝物の量の検査のための採尿の時刻は、厳重にチェックする必要がある。,2,特殊健康診断に関する次の記述のうち、誤っているものはどれか。,有害物質による健康障害では、血液検査などの他覚的所見が自覚症状より先に現れることが多く、特殊健康診断では客観的な検査結果を重視する必要があります。「自覚症状が先に出現するため問診の重要性が高い」とした②が誤りで正答です。配置替え時の特殊健診は業務適性の判断と基礎データ収集が目的（①正）、他疾患との鑑別が一般健診より重要（③正）、ばく露状況の事前把握が必要（④正）、有機溶剤の採尿時刻は厳守が必要（⑤正）はすべて正しい内容です。
平成29年,4月,労働衛生,20,リスクアセスメントの基本的手順のうち最初に実施するのは、労働者の就業に係る化学物質等による危険性又は有害性を特定することである。,ハザードは、労働災害発生の可能性と負傷又は疾病の重大性(重篤度)の組合せであると定義される。,化学物質等による疾病のリスク低減措置の検討では、化学物質等の有害性に応じた有効な保護具の使用よりも局所排気装置の設置等の工学的対策を優先する。,化学物質等による疾病のリスク低減措置の検討では、法令に定められた事項を除けば、危険性又は有害性のより低い物質への代替等を最優先する。,新たに化学物質等の譲渡又は提供を受ける場合には、その化学物質を譲渡し、又は提供する者から、その化学物質等のSDS(安全データシート)を入手する。,2,化学物質等のリスクアセスメントに関する次の記述のうち、誤っているものはどれか。,ハザードとは危険性・有害性そのもの（危険の源）を指す言葉です。「労働災害発生の可能性と重篤度の組み合わせ」はリスクの定義であり、これをハザードの定義とした②が誤りで正答です。リスクアセスメントの最初のステップは危険性・有害性の特定（①正）、疾病リスク低減では有害性のより低い物質への代替等を最優先（④正）、工学的対策は保護具より優先（③正）、化学物質入手時はSDSを確認（⑤正）はいずれも正しい内容です。ハザードとリスクの区別は必須です。
平成29年,4月,関係法令,21,衛生推進者の指揮に関すること。,安全衛生に関する方針の表明に関すること。,安全衛生に関する計画の作成、実施、評価及び改善に関すること。,労働者の衛生のための教育の実施に関すること。,労働災害の原因の調査及び再発防止対策に関すること。,1,事業者が衛生管理者に管理させるべき業務として、法令上、誤っているものは次のうちどれか。ただし、次のそれぞれの業務のうち衛生に係る技術的事項に限るものとする。,衛生管理者が管理すべき業務として誤っているのは①の「衛生推進者の指揮に関すること」です。衛生推進者は常時50人未満の比較的小規模な事業場に置かれるもので、衛生管理者が選任される規模（常時50人以上）の事業場には通常置かれず、衛生管理者が指揮する対象でもありません。安全衛生方針の表明・計画の作成と改善（②③正）、労働者への衛生教育（④正）、労働災害の原因調査と再発防止対策（⑤正）はいずれも衛生管理者の管理業務に含まれます。
平成29年,4月,関係法令,22,衛生委員会の議長を除く全委員については、事業場に労働者の過半数で組織する労働組合がないときは、労働者の過半数を代表する者の推薦に基づき指名しなければならない。,衛生委員会の議長は、原則として、総括安全衛生管理者又は総括安全衛生管理者以外の者で事業場においてその事業の実施を統括管理するもの若しくはこれに準ずる者のうちから事業者が指名した委員がなる。,事業場に専属ではないが、衛生管理者として選任している労働衛生コンサルタントを、衛生委員会の委員として指名することができる。,衛生委員会の開催の都度、遅滞なく、委員会における議事の概要を、書面の交付等一定の方法によって労働者に周知させなければならない。,衛生委員会の議事で重要なものについては、記録を作成し、3年間保存しなければならない。,1,衛生委員会に関する次の記述のうち、法令上、誤っているものはどれか。,衛生委員会において、労働組合等の推薦に基づいて指名が必要なのは、労働者側の委員のみです。産業医や衛生管理者については事業者が指名することができるため、「議長を除く全委員」に推薦が必要とした①が誤りで正答です。議長は総括安全衛生管理者等が務め（②正）、専属でない労働衛生コンサルタントも委員に指名可能（③正）、開催都度に議事概要を労働者に周知（④正）、議事の重要事項は3年間記録保存（⑤正）はいずれも正しい内容です。
平成29年,4月,関係法令,23,常時50人の労働者を就業させている屋内作業場の気積が、設備の占める容積及び床面から4mを超える高さにある空間を除き400m3となっている。,日常行う清掃のほか、1年に1回、定期に大掃除を行っている。,常時男性5人、女性30人の労働者を使用している事業場で、労働者が臥床することのできる休養室又は休養所を男女別に設けていない。,事業場に附属する食堂の炊事従業員について、専用の便所を設けているほか、一般従業員と共用の休憩室を設けている。,労働者を常時就業させる場所の作業面の照度を、精密な作業については350ルクス、粗な作業については150ルクスとしている。,5,事業場の建築物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反していないものは次のうちどれか。,照度の衛生基準は精密な作業300ルクス以上、粗な作業70ルクス以上です。正答⑤の精密作業350ルクス・粗な作業150ルクスはいずれも基準を上回っており違反なし。気積は労働者1人当たり10m3以上が必要で50人なら最低500m3が必要（①は400m3で違反）、大掃除は6か月以内ごとに1回（②の年1回は違反）、女性30人以上なら休養室は男女別に設置（③違反）、炊事従業員の休憩室は一般従業員と共用不可（④違反）です。
平成29年,4月,関係法令,24,面接指導の対象となる労働者の要件は、原則として、休憩時間を除き1週40時間を超えて労働させた場合におけるその超えた時間が1か月当たり100時間を超え、かつ、疲労の蓄積が認められることである。,面接指導は、労働時間の状況等が一定の要件に該当する労働者の申出により行われる。,医師は、対象となる労働者の面接指導を行うに当たり、勤務の状況、疲労の蓄積の状況の他、心身の状況について確認を行う。,事業者は、面接指導の結果に基づき、労働者の健康を保持するため必要な措置について、面接指導が行われた後、遅滞なく、医師の意見を聴かなければならない。,面接指導を行う医師として事業者が指定することのできる医師は、当該事業場の産業医に限られる。,5,労働時間の状況等が一定の要件に該当する労働者に対して、法令により実施することが義務付けられている医師による面接指導に関する次の記述のうち、誤っているものはどれか。,面接指導を実施する医師は産業医に限られておらず、産業医以外の医師に依頼することも法令上認められています。「産業医に限られる」とした⑤が誤りで正答です。面接指導の対象は、休憩を除く週40時間超の時間外労働が月100時間を超え、かつ疲労の蓄積が認められる者で、本人の申出によって実施します（②正）。面接では勤務状況・疲労・心身の状況を確認（③正）し、面接後は遅滞なく医師の意見を聴かなければなりません（④正）。
平成29年,4月,関係法令,25,血糖検査,心電図検査,肝機能検査,血中脂質検査,尿検査,5,労働安全衛生規則に基づく次の定期健康診断項目のうち、厚生労働大臣が定める基準に基づき、医師が必要でないと認めるときは、省略することができる項目に該当しないものはどれか。,定期健康診断において省略が一切認められない必須項目は正答⑤の尿検査です。血糖検査・心電図検査・肝機能検査・血中脂質検査は、一定の基準に基づき医師が必要でないと認めた場合に省略することが認められます。尿検査（糖・蛋白の有無）は健康状態を把握するうえで最も基本的な検査項目であり、いかなる条件下でも省略せずに実施しなければなりません。省略可能な項目と省略不可の項目の区別は試験で頻出の論点です。
平成29年,4月,関係法令,26,10日,11日,12日,13日,14日,5,週所定労働時間が32時間で、週所定労働日数が4日である労働者であって、雇入れの日から起算して3年6か月継続勤務した労働者に対して、その後1年間に新たに与えなければならない年次有給休暇日数として、法令上、正しいものは,週所定労働時間が32時間（週30時間以上）の場合、比例付与の対象外となり通常の年次有給休暇日数が適用されます。雇入れから3年6か月継続勤務した場合の付与日数は14日であり、正答は⑤です。週所定労働時間が30時間未満であれば週所定日数に応じた比例付与が適用されますが、本問は30時間以上のため通常付与の扱いになります。勤続年数ごとの付与日数と比例付与の計算方法は試験で必出のため、表を使って整理しておきましょう。
平成29年,4月,関係法令,27,生後満1年に達しない生児を育てる女性労働者は、育児時間を請求できる。,育児時間は、休憩時間とは別の時間として請求できる。,育児時間は、原則として、1日2回、1回当たり少なくとも30分の時間を請求できる。,育児時間を請求しない女性労働者に対しても、育児時間を与えなければならない。,育児時間は、育児時間を請求できる女性労働者が請求した時間に与えなければならない。,4,労働基準法に定める育児時間に関する次の記述のうち、誤っているものはどれか。,育児時間は、生後満1歳未満の生児を育てる女性労働者が請求した場合に与えるものです。請求しない労働者に対して事業者が強制的に与える義務はなく、「請求しない女性にも与えなければならない」とした④が誤りで正答です。育児時間は休憩時間とは別に請求でき（②正）、1日2回それぞれ少なくとも30分（③正）、請求した時間帯に与えることが必要です（⑤正）。育児時間は女性労働者保護のための労働基準法上の権利ですが、あくまで請求に基づくものです。
平成29年,4月,労働衛生,28,メンタルヘルスケアを中長期的視点に立って継続的かつ計画的に行うため策定する「心の健康づくり計画」は、各事業場における労働安全衛生に関する計画の中に位置付けることが望ましい。,「心の健康づくり計画」の策定に当たっては、衛生委員会又は安全衛生委員会において十分調査審議を行う。,事業者がメンタルヘルスケアを積極的に推進する旨の表明に関することは、「心の健康づくり計画」で定めるべき事項に含まれる。,「セルフケア」とは、労働者自身がストレスや心の健康について理解し、自らのストレスを予防、軽減する、またはこれに対処することである。,メンタルヘルスケアは、「セルフケア」、「家族によるケア」及び「事業場内産業保健スタッフ等によるケア」の三つのケアを継続的かつ計画的に行うことが重要である。,5,厚生労働省の「労働者の心の健康の保持増進のための指針」に基づくメンタルヘルス対策に関する次の記述のうち、誤っているものはどれか。,メンタルヘルスケアの基本は「セルフケア」「ラインによるケア」「事業場内産業保健スタッフ等によるケア」「事業場外資源によるケア」の四つです。「家族によるケア」は含まれておらず「三つのケア」と記述した⑤が誤りで正答です。心の健康づくり計画は安全衛生に関する計画に位置付けることが望ましく（①正）、計画策定には衛生委員会での調査審議を行い（②正）、セルフケアとは労働者自身がストレスを管理することです（④正）。四つのケアを正確に覚えておきましょう。
平成29年,4月,労働衛生,29,継続的かつ計画的な取組,経営者の意向の反映,労働者の意見の反映,個人差への配慮,潤いへの配慮,2,厚生労働省の「事業者が講ずべき快適な職場環境の形成のための措置に関する指針」において、快適な職場環境の形成のための措置の実施に関し、考慮すべき事項とされていないものは次のうちどれか。,快適な職場環境の形成のための措置実施に関して考慮すべき事項は「継続的かつ計画的な取組」「労働者の意見の反映」「個人差への配慮」「潤いへの配慮」の4つです。「経営者の意向の反映」はこの指針の考慮事項に含まれておらず正答は②です。この指針は現場の労働者中心の視点を基本としており、経営者の意向よりも現場の労働者の意見や個人差、職場の潤いを重視することがポイントです。快適職場指針の考慮事項4つを丸ごと覚えておきましょう。
平成29年,4月,労働衛生,30,傷病者の反応がない場合は、大声で叫んで周囲に注意喚起し、協力者を確保する。,周囲に協力者がいる場合は、119番通報やAED(自動体外式除細動器)の手配を依頼する。,口対口人工呼吸は、傷病者の鼻をつまみ、1回の吹き込みに約3秒かけて傷病者の胸の盛り上がりが見える程度まで吹き込む。,胸骨圧迫は、胸が約5cm沈む強さで、1分間に100〜120回のテンポで行う。,AEDを用いた場合、電気ショックを行った後や電気ショックは不要と判断されたときには、音声メッセージに従い、胸骨圧迫を再開し心肺蘇生を続ける。,3,一次救命処置に関する次の記述のうち、誤っているものはどれか。,口対口人工呼吸は1回の吹き込みに約1秒かけて行うのが正しく、「約3秒」とした③が誤りで正答です。3秒かけて吹き込むと過換気となり胸腔内圧が上昇して心臓への静脈血の還流が阻害されます。反応がない場合は大声で周囲に助けを求め（①正）、119番通報とAEDの手配を依頼し（②正）、胸骨圧迫は胸が約5cm沈む強さで1分間100〜120回のテンポで行い（④正）、電気ショック後は速やかに胸骨圧迫を再開します（⑤正）。一次救命処置の手順全体を理解しておきましょう。
