question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
11,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、適切なものはどれか。,,,,,,肺静脈には、全身から戻った酸素の少ない血液が流れる。,血小板は、出血時の止血や血液凝固に関与する。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,2,正しいものは2です。血小板は出血時の止血や血液凝固に関与します。1は、肺静脈には酸素の多い動脈血が流れるため、酸素の少ない血液とする記述は誤り。3は、副交感神経が優位になると消化管運動は促進されるため、停止とする記述は誤り。4は、胆汁を生成するのは肝臓であり腎臓ではないため誤り。5は、暑熱時には皮膚血管が拡張して体熱の放散が促進されるため、収縮とする記述は誤りです。,,,,
12,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、不適切なものはどれか。,,,,,,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,血小板は酸素を全身に運搬する主要な血球である。,5,不適切なものは5です。酸素を全身に運搬する主要な血球は赤血球であり、血小板は止血や血液凝固に関与します。1は、交感神経が優位になると心拍数が増加しやすいので正しい。2は、膵臓のランゲルハンス島から分泌されるインスリンが血糖値を低下させるので正しい。3は、心筋が不随意筋であり規則的に拍動するので正しい。4は、眼の水晶体が厚さを変化させて焦点調節に関与するので正しい記述です。,,,,
13,single,労働生理,演習;労働生理,労働生理における肺胞に関する次の記述のうち、正しいものはどれか。,,,,,,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,肺胞では、肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する。,心筋は随意筋であり、意思によって拍動を停止できる。,4,正しいものは4です。肺胞では肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動するガス交換が行われます。1は、大動脈へ血液を送り出すのは左心室であり、右心室は肺へ送り出すため誤り。2は、交感神経が優位になると心拍数は増加するため、低下とする記述は誤り。3は、尿素を生成してアンモニアを解毒する主な臓器は肝臓であり膵臓ではないため誤り。5は、心筋は不随意筋であり意思によって拍動を止められないため誤りです。,,,,
14,single,労働生理,演習;労働生理,労働生理における肺胞に関する次の記述のうち、誤っているものはどれか。,,,,,,自律神経系は、交感神経系と副交感神経系に大別される。,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,2,誤っているものは2です。肺胞では肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する向きであり、記述は逆になっています。1は、自律神経系が交感神経系と副交感神経系に大別されるので正しい。3は、肝臓が胆汁の生成・解毒・グリコーゲンの貯蔵に関与するので正しい。4は、骨格筋が随意筋であり意思によって動かせるので正しい。5は、発汗が多い作業では水分だけでなく塩分の補給も重要であるので正しい記述です。,,,,
15,single,労働生理,演習;労働生理,労働生理における肺胞に関する次の記述のうち、適切なものはどれか。,,,,,,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,肺胞では、肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,3,正しいものは3です。肺胞では肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動します。1は、自律神経系は交感神経系と副交感神経系から成り、大脳皮質と小脳から構成されるものではないため誤り。2は、インスリンを分泌するのは膵臓であり肝臓ではないため誤り。4は、骨格筋は随意筋で意思により動かせるため誤り。5は、発汗が多い作業では適切な水分補給が必要であり、水分摂取を避けると熱中症の危険が高まるため誤りです。,,,,
16,single,労働生理,演習;労働生理,労働生理における肺胞に関する次の記述のうち、不適切なものはどれか。,,,,,,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,1,不適切なものは1番です。肺胞でのガス交換は、肺胞内の酸素が血液中へ取り込まれ、血液中の二酸化炭素が肺胞内へ移動する向きで行われます。1は「血液中の酸素が肺胞内へ、肺胞内の二酸化炭素が血液中へ」と向きが逆で誤りです。2は副交感神経が優位になると消化管運動が促進されるので正しく、3は腎臓が尿の生成を通じて老廃物の排泄や体液の調節に関与すること、4は暑熱時の発汗・皮膚血管拡張による放熱、5は内耳の蝸牛が音の刺激を神経信号に変換することで、いずれも正しい記述です。,,,,
17,single,労働生理,演習;労働生理,労働生理における横隔膜に関する次の記述のうち、正しいものはどれか。,,,,,,肺静脈には、全身から戻った酸素の少ない血液が流れる。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,5,正しいものは5番です。吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなって肺に空気が入ります。1は肺静脈には肺で酸素を取り込んだ酸素の多い血液が流れるため「全身から戻った酸素の少ない血液」は誤り、2は副交感神経が優位になると消化管運動は促進されるため「停止する」は誤り、3は胆汁を生成するのは肝臓であり腎臓ではないため誤り、4は暑熱時には皮膚血管は拡張して放熱するため「収縮して放散が促進」は誤りです。,,,,
18,single,労働生理,演習;労働生理,労働生理における横隔膜に関する次の記述のうち、誤っているものはどれか。,,,,,,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,3,誤っているものは3番です。吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなるのが正しく、3の「弛緩して上がり容積が小さくなる」は呼気時の動きで誤りです。1は交感神経優位で心拍数が増加すること、2は膵臓のランゲルハンス島から分泌されるインスリンが血糖値を低下させること、4は心筋が不随意筋で規則的に拍動すること、5は眼の水晶体が厚さを変えて焦点調節に関与することで、いずれも正しい記述です。,,,,
19,single,労働生理,演習;労働生理,労働生理における横隔膜に関する次の記述のうち、適切なものはどれか。,,,,,,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,眼の水晶体は、音の振動を神経信号に変換する。,4,適切なものは4番です。吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなって空気が入ります。1は交感神経が優位になると心拍数は増加するため「大きく低下」は誤り、2は尿素を生成し解毒に関与する主な臓器は肝臓であり膵臓ではないため誤り、3は心筋は不随意筋で意思によって拍動を止められないため「随意筋」は誤り、5は音を神経信号に変換するのは内耳の蝸牛で水晶体ではないため誤りです。,,,,
20,single,労働生理,演習;労働生理,労働生理における横隔膜に関する次の記述のうち、不適切なものはどれか。,,,,,,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,2,不適切なものは2番です。吸気時には横隔膜が収縮して下がり胸郭の容積が大きくなるのが正しく、2の「弛緩して上がり容積が小さくなる」は呼気時の動きで誤りです。1は肝臓による胆汁の生成・解毒・グリコーゲンの貯蔵、3は骨格筋が随意筋で意思によって動かせること、4は発汗が多い作業での水分・塩分の補給、5は睡眠不足が注意力や判断力の低下につながることで、いずれも正しい記述です。,,,,
21,single,労働生理,演習;労働生理,労働生理における心臓に関する次の記述のうち、正しいものはどれか。,,,,,,左心室から送り出された血液は、大動脈を通って全身へ送られる。,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,1,正しいものは1番です。左心室から送り出された血液は大動脈を通って全身へ送られます。2は自律神経系は交感神経系と副交感神経系から構成され「大脳皮質と小脳だけ」ではないため誤り、3はインスリンを分泌するのは膵臓で肝臓ではないため誤り、4は骨格筋は随意筋で意思によって動かせるため「不随意筋」は誤り、5は発汗が多い作業では水分補給が必要で「水分摂取を避けるほど熱中症を予防」は誤りです。,,,,
22,single,労働生理,演習;労働生理,労働生理における心臓に関する次の記述のうち、誤っているものはどれか。,,,,,,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,4,誤っているものは4番です。全身へ血液を送り出すのは左心室であり、右心室から出た血液は肺動脈を通って肺へ向かうため、4の「右心室から大動脈を通って全身へ」は誤りです。1は副交感神経優位での消化管運動の促進、2は腎臓による老廃物の排泄と体液の調節、3は暑熱時の発汗・皮膚血管拡張による放熱、5は内耳の蝸牛が音を神経信号に変換することで、いずれも正しい記述です。,,,,
23,single,労働生理,演習;労働生理,労働生理における心臓に関する次の記述のうち、適切なものはどれか。,,,,,,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,左心室から送り出された血液は、大動脈を通って全身へ送られる。,5,適切なものは5番です。左心室から送り出された血液は大動脈を通って全身へ送られます。1は副交感神経が優位になると消化管運動は促進されるため「停止」は誤り、2は胆汁を生成するのは肝臓で腎臓ではないため誤り、3は暑熱時には皮膚血管は拡張して放熱するため「収縮」は誤り、4は蝸牛は音を神経信号に変換する器官で酸素の運搬は行わないため誤りです。,,,,
24,single,労働生理,演習;労働生理,労働生理における心臓に関する次の記述のうち、不適切なものはどれか。,,,,,,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,3,不適切なものは3番です。全身へ血液を送り出すのは左心室であり、右心室から出た血液は肺動脈を通って肺へ向かうため、3の「右心室から大動脈を通って全身へ」は誤りです。1は膵臓のランゲルハンス島から分泌されるインスリンによる血糖値の低下、2は心筋が不随意筋で規則的に拍動すること、4は眼の水晶体が厚さを変えて焦点調節に関与すること、5は疲労が作業能率や注意力の低下の要因となることで、いずれも正しい記述です。,,,,
25,single,労働生理,演習;労働生理,労働生理における肺静脈に関する次の記述のうち、正しいものはどれか。,,,,,,交感神経が優位になると、一般に心拍数は大きく低下する。,肺静脈には、肺で酸素を取り込んだ血液が流れる。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,2,正しいものは2番です。肺静脈は肺から左心房へ戻る血管で、肺で酸素を取り込んだ酸素の多い血液が流れます。1は交感神経が優位になると心拍数は増加するため「大きく低下」は誤り、3は尿素を生成し解毒に関与する主な臓器は肝臓であり膵臓ではないため誤り、4は心筋は不随意筋で意思によって拍動を止められないため「随意筋」は誤り、5は音を神経信号に変換するのは蝸牛で水晶体ではないため誤りです。,,,,
26,single,労働生理,演習;労働生理,労働生理における肺静脈に関する次の記述のうち、誤っているものはどれか。,,,,,,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,5,誤っているものは5番です。肺静脈には肺で酸素を取り込んだ酸素の多い血液が流れるため、5の「全身から戻った酸素の少ない血液が流れる」は誤りです(それは大静脈や肺動脈の血液の説明)。1は肝臓による胆汁の生成・解毒・グリコーゲンの貯蔵、2は骨格筋が随意筋で意思によって動かせること、3は発汗が多い作業での水分・塩分の補給、4は睡眠不足が注意力や判断力の低下につながることで、いずれも正しい記述です。,,,,
27,single,労働生理,演習;労働生理,労働生理における肺静脈に関する次の記述のうち、適切なものはどれか。,,,,,,肺静脈には、肺で酸素を取り込んだ血液が流れる。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,1,適切なものは1番です。肺静脈は肺から左心房へ戻る血管で、肺で酸素を取り込んだ酸素の多い血液が流れます。2はインスリンを分泌するのは膵臓で肝臓ではないため誤り、3は骨格筋は随意筋で意思によって動かせるため「不随意筋」は誤り、4は発汗が多い作業では水分補給が必要で「水分摂取を避けるほど熱中症を予防」は誤り、5は睡眠不足は注意力低下や疲労を招くため「注意力を常に高め疲労を完全に防止」は誤りです。,,,,
28,single,労働生理,演習;労働生理,労働生理における肺静脈に関する次の記述のうち、不適切なものはどれか。,,,,,,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,4,不適切なものは4番です。肺静脈には肺で酸素を取り込んだ酸素の多い血液が流れるため、4の「全身から戻った酸素の少ない血液が流れる」は誤りです。1は腎臓による老廃物の排泄と体液の調節、2は暑熱時の発汗・皮膚血管拡張による放熱、3は内耳の蝸牛が音を神経信号に変換すること、5はホルモンが内分泌腺から血液中に分泌され標的器官に作用することで、いずれも正しい記述です。,,,,
29,single,労働生理,演習;労働生理,労働生理における自律神経に関する次の記述のうち、正しいものはどれか。,,,,,,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,自律神経系は、交感神経系と副交感神経系に大別される。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,3,正しいものは3番です。自律神経系は交感神経系と副交感神経系に大別され、内臓や血管などの機能を調節します。1は副交感神経が優位になると消化管運動は促進されるため「停止」は誤り、2は胆汁を生成するのは肝臓で腎臓ではないため誤り、4は暑熱時には皮膚血管は拡張して放熱するため「収縮」は誤り、5は蝸牛は音を神経信号に変換する器官で酸素の運搬は行わないため誤りです。,,,,
30,single,労働生理,演習;労働生理,労働生理における自律神経に関する次の記述のうち、誤っているものはどれか。,,,,,,自律神経系は、大脳皮質と小脳だけから構成される。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,1,誤っているものは1番です。自律神経系は交感神経系と副交感神経系に大別されるものであり、「大脳皮質と小脳だけから構成される」とする1は誤りです。2は膵臓のランゲルハンス島から分泌されるインスリンによる血糖値の低下、3は心筋が不随意筋で規則的に拍動すること、4は眼の水晶体が厚さを変えて焦点調節に関与すること、5は疲労が作業能率や注意力の低下の要因となることで、いずれも正しい記述です。,,,,
31,single,労働生理,演習;労働生理,労働生理における自律神経に関する次の記述のうち、適切なものはどれか。,,,,,,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,自律神経系は、交感神経系と副交感神経系に大別される。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,2,正しいものは2です。自律神経系は、活動時に優位となる交感神経系と、休息時に優位となる副交感神経系に大別され、内臓や血管などの機能を不随意に調節します。1は誤りで、尿素を生成してアンモニアを解毒する主な臓器は肝臓であり、膵臓ではありません。3は誤りで、心筋は不随意筋であり、意思によって拍動を停止することはできません。4は誤りで、水晶体は光を屈折させて網膜上に焦点を合わせる器官であり、音の振動を神経信号に変換するのは内耳(蝸牛)です。5は誤りで、疲労は作業能率を低下させ、災害リスクを高めます。,,,,
32,single,労働生理,演習;労働生理,労働生理における自律神経に関する次の記述のうち、不適切なものはどれか。,,,,,,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,自律神経系は、大脳皮質と小脳だけから構成される。,5,不適切なものは5です。自律神経系は交感神経系と副交感神経系から構成されるものであり、大脳皮質と小脳だけから構成されるという記述は誤りです。1は正しく、骨格筋は随意筋であり意思により動かすことができます。2は正しく、多量の発汗を伴う作業では水分とともに塩分の補給も重要です。3は正しく、睡眠不足は注意力や判断力の低下につながることがあります。4は正しく、消化酵素は食物中の栄養素を吸収しやすい形に分解します。,,,,
33,single,労働生理,演習;労働生理,労働生理における交感神経に関する次の記述のうち、正しいものはどれか。,,,,,,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,交感神経が優位になると、一般に心拍数は増加しやすい。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,4,正しいものは4です。交感神経は活動時・緊張時に優位となり、一般に心拍数の増加や血圧の上昇をもたらします。1は誤りで、インスリンを分泌するのは膵臓のランゲルハンス島であり、肝臓ではありません。2は誤りで、骨格筋は随意筋であり意思により動かすことができます。3は誤りで、発汗の多い作業では水分や塩分の補給が熱中症予防に不可欠であり、水分摂取を避けることは危険です。5は誤りで、睡眠不足は注意力を低下させ、疲労を防止するものではありません。,,,,
34,single,労働生理,演習;労働生理,労働生理における交感神経に関する次の記述のうち、誤っているものはどれか。,,,,,,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,交感神経が優位になると、一般に心拍数は大きく低下する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,2,誤っているものは2です。交感神経が優位になると一般に心拍数は増加するのが原則であり、大きく低下するという記述は誤りです。1は正しく、腎臓は尿の生成を通じて老廃物の排泄や体液の調節に関与します。3は正しく、暑熱時には発汗や皮膚血管の拡張により体熱の放散が促進されます。4は正しく、内耳の蝸牛は音の刺激を神経信号に変換する働きに関与します。5は正しく、ホルモンは内分泌腺から血液中に分泌され、標的器官に作用します。,,,,
