開催年数,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
オリジナル,11,労働生理,労働生理における血小板に関する次の記述のうち、適切なものはどれか。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,血小板は、出血時の止血や血液凝固に関与する。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,2,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは2です。
オリジナル,12,労働生理,労働生理における血小板に関する次の記述のうち、不適切なものはどれか。,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,血小板は酸素を全身に運搬する主要な血球である。,5,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは5です。
オリジナル,13,労働生理,労働生理における肺胞に関する次の記述のうち、正しいものはどれか。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,肺胞では、肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する。,心筋は随意筋であり、意思によって拍動を停止できる。,4,肺胞でのガス交換は、酸素が血液へ、二酸化炭素が肺胞へ移動する向きで行われます。 したがって、正しいものは4です。
オリジナル,14,労働生理,労働生理における肺胞に関する次の記述のうち、誤っているものはどれか。,自律神経系は、交感神経系と副交感神経系に大別される。,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,2,肺胞でのガス交換は、酸素が血液へ、二酸化炭素が肺胞へ移動する向きで行われます。 したがって、誤っているものは2です。
オリジナル,15,労働生理,労働生理における肺胞に関する次の記述のうち、適切なものはどれか。,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,肺胞では、肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,3,肺胞でのガス交換は、酸素が血液へ、二酸化炭素が肺胞へ移動する向きで行われます。 したがって、正しいものは3です。
オリジナル,16,労働生理,労働生理における肺胞に関する次の記述のうち、不適切なものはどれか。,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,1,肺胞でのガス交換は、酸素が血液へ、二酸化炭素が肺胞へ移動する向きで行われます。 したがって、誤っているものは1です。
オリジナル,17,労働生理,労働生理における横隔膜に関する次の記述のうち、正しいものはどれか。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,5,吸気時には横隔膜が収縮して下がり、胸郭が広がることで空気が入ります。 したがって、正しいものは5です。
オリジナル,18,労働生理,労働生理における横隔膜に関する次の記述のうち、誤っているものはどれか。,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,3,吸気時には横隔膜が収縮して下がり、胸郭が広がることで空気が入ります。 したがって、誤っているものは3です。
オリジナル,19,労働生理,労働生理における横隔膜に関する次の記述のうち、適切なものはどれか。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,眼の水晶体は、音の振動を神経信号に変換する。,4,吸気時には横隔膜が収縮して下がり、胸郭が広がることで空気が入ります。 したがって、正しいものは4です。
オリジナル,20,労働生理,労働生理における横隔膜に関する次の記述のうち、不適切なものはどれか。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,2,吸気時には横隔膜が収縮して下がり、胸郭が広がることで空気が入ります。 したがって、誤っているものは2です。
オリジナル,21,労働生理,労働生理における心臓に関する次の記述のうち、正しいものはどれか。,左心室から送り出された血液は、大動脈を通って全身へ送られる。,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,1,全身へ血液を送るのは左心室です。右心室からは肺動脈を通って肺へ送られます。 したがって、正しいものは1です。
オリジナル,22,労働生理,労働生理における心臓に関する次の記述のうち、誤っているものはどれか。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,4,全身へ血液を送るのは左心室です。右心室からは肺動脈を通って肺へ送られます。 したがって、誤っているものは4です。
オリジナル,23,労働生理,労働生理における心臓に関する次の記述のうち、適切なものはどれか。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,左心室から送り出された血液は、大動脈を通って全身へ送られる。,5,全身へ血液を送るのは左心室です。右心室からは肺動脈を通って肺へ送られます。 したがって、正しいものは5です。
オリジナル,24,労働生理,労働生理における心臓に関する次の記述のうち、不適切なものはどれか。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,3,全身へ血液を送るのは左心室です。右心室からは肺動脈を通って肺へ送られます。 したがって、誤っているものは3です。
オリジナル,25,労働生理,労働生理における肺静脈に関する次の記述のうち、正しいものはどれか。,交感神経が優位になると、一般に心拍数は大きく低下する。,肺静脈には、肺で酸素を取り込んだ血液が流れる。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,2,肺静脈は肺から左心房へ戻る血管で、酸素を多く含む血液が流れます。 したがって、正しいものは2です。
オリジナル,26,労働生理,労働生理における肺静脈に関する次の記述のうち、誤っているものはどれか。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,5,肺静脈は肺から左心房へ戻る血管で、酸素を多く含む血液が流れます。 したがって、誤っているものは5です。
オリジナル,27,労働生理,労働生理における肺静脈に関する次の記述のうち、適切なものはどれか。,肺静脈には、肺で酸素を取り込んだ血液が流れる。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,1,肺静脈は肺から左心房へ戻る血管で、酸素を多く含む血液が流れます。 したがって、正しいものは1です。
オリジナル,28,労働生理,労働生理における肺静脈に関する次の記述のうち、不適切なものはどれか。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,4,肺静脈は肺から左心房へ戻る血管で、酸素を多く含む血液が流れます。 したがって、誤っているものは4です。
オリジナル,29,労働生理,労働生理における自律神経に関する次の記述のうち、正しいものはどれか。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,自律神経系は、交感神経系と副交感神経系に大別される。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,3,自律神経系は交感神経系と副交感神経系に大別され、内臓機能を調節します。 したがって、正しいものは3です。
オリジナル,30,労働生理,労働生理における自律神経に関する次の記述のうち、誤っているものはどれか。,自律神経系は、大脳皮質と小脳だけから構成される。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,1,自律神経系は交感神経系と副交感神経系に大別され、内臓機能を調節します。 したがって、誤っているものは1です。
オリジナル,31,労働生理,労働生理における自律神経に関する次の記述のうち、適切なものはどれか。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,自律神経系は、交感神経系と副交感神経系に大別される。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,2,自律神経系は交感神経系と副交感神経系に大別され、内臓機能を調節します。 したがって、正しいものは2です。
オリジナル,32,労働生理,労働生理における自律神経に関する次の記述のうち、不適切なものはどれか。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,自律神経系は、大脳皮質と小脳だけから構成される。,5,自律神経系は交感神経系と副交感神経系に大別され、内臓機能を調節します。 したがって、誤っているものは5です。
オリジナル,33,労働生理,労働生理における交感神経に関する次の記述のうち、正しいものはどれか。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,交感神経が優位になると、一般に心拍数は増加しやすい。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,4,交感神経は活動時に働き、心拍数増加、血圧上昇などに関与します。 したがって、正しいものは4です。
オリジナル,34,労働生理,労働生理における交感神経に関する次の記述のうち、誤っているものはどれか。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,交感神経が優位になると、一般に心拍数は大きく低下する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,2,交感神経は活動時に働き、心拍数増加、血圧上昇などに関与します。 したがって、誤っているものは2です。
オリジナル,35,労働生理,労働生理における交感神経に関する次の記述のうち、適切なものはどれか。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,交感神経が優位になると、一般に心拍数は増加しやすい。,内耳の蝸牛は、血液中の酸素を運搬する。,ホルモンは消化管内だけに分泌され、血液中には入らない。,3,交感神経は活動時に働き、心拍数増加、血圧上昇などに関与します。 したがって、正しいものは3です。
オリジナル,36,労働生理,労働生理における交感神経に関する次の記述のうち、不適切なものはどれか。,交感神経が優位になると、一般に心拍数は大きく低下する。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,小腸は、消化された栄養素の吸収に重要な役割を果たす。,1,交感神経は活動時に働き、心拍数増加、血圧上昇などに関与します。 したがって、誤っているものは1です。
オリジナル,37,労働生理,労働生理における副交感神経に関する次の記述のうち、正しいものはどれか。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,5,副交感神経は休息時に働き、消化管運動を促進する方向に作用します。 したがって、正しいものは5です。
オリジナル,38,労働生理,労働生理における副交感神経に関する次の記述のうち、誤っているものはどれか。,骨格筋は随意筋であり、意思によって動かすことができる。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,副交感神経が優位になると、一般に消化管運動は停止する。,睡眠不足は、注意力や判断力の低下につながることがある。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,3,副交感神経は休息時に働き、消化管運動を促進する方向に作用します。 したがって、誤っているものは3です。
オリジナル,39,労働生理,労働生理における副交感神経に関する次の記述のうち、適切なものはどれか。,骨格筋は不随意筋であり、意思によって全く動かせない。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,消化酵素は、肺胞で酸素と二酸化炭素を交換する。,4,副交感神経は休息時に働き、消化管運動を促進する方向に作用します。 したがって、正しいものは4です。
オリジナル,40,労働生理,労働生理における副交感神経に関する次の記述のうち、不適切なものはどれか。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,副交感神経が優位になると、一般に消化管運動は停止する。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,中枢神経系は、脳と脊髄から成る。,2,副交感神経は休息時に働き、消化管運動を促進する方向に作用します。 したがって、誤っているものは2です。
オリジナル,41,労働生理,労働生理における肝臓に関する次の記述のうち、正しいものはどれか。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,腎臓は胆汁を生成して脂肪の消化を助ける。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,ホルモンは消化管内だけに分泌され、血液中には入らない。,1,インスリンを分泌するのは膵臓です。肝臓は代謝、解毒、胆汁生成などを担います。 したがって、正しいものは1です。
オリジナル,42,労働生理,労働生理における肝臓に関する次の記述のうち、誤っているものはどれか。,心筋は不随意筋であり、規則的な拍動を行う。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,肝臓はインスリンを分泌して血糖値を直接低下させる。,小腸は、消化された栄養素の吸収に重要な役割を果たす。,4,インスリンを分泌するのは膵臓です。肝臓は代謝、解毒、胆汁生成などを担います。 したがって、誤っているものは4です。
オリジナル,43,労働生理,労働生理における肝臓に関する次の記述のうち、適切なものはどれか。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,小腸は尿を一時的に貯留する器官である。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,5,インスリンを分泌するのは膵臓です。肝臓は代謝、解毒、胆汁生成などを担います。 したがって、正しいものは5です。
オリジナル,44,労働生理,労働生理における肝臓に関する次の記述のうち、不適切なものはどれか。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,肝臓はインスリンを分泌して血糖値を直接低下させる。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,3,インスリンを分泌するのは膵臓です。肝臓は代謝、解毒、胆汁生成などを担います。 したがって、誤っているものは3です。
オリジナル,45,労働生理,労働生理における膵臓に関する次の記述のうち、正しいものはどれか。,骨格筋は不随意筋であり、意思によって全く動かせない。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,消化酵素は、肺胞で酸素と二酸化炭素を交換する。,2,インスリンは膵臓から分泌されます。尿素生成による解毒は主に肝臓の働きです。 したがって、正しいものは2です。
オリジナル,46,労働生理,労働生理における膵臓に関する次の記述のうち、誤っているものはどれか。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,中枢神経系は、脳と脊髄から成る。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,5,インスリンは膵臓から分泌されます。尿素生成による解毒は主に肝臓の働きです。 したがって、誤っているものは5です。
オリジナル,47,労働生理,労働生理における膵臓に関する次の記述のうち、適切なものはどれか。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,ホルモンは消化管内だけに分泌され、血液中には入らない。,中枢神経系は、末梢の血管とリンパ管だけから成る。,1,インスリンは膵臓から分泌されます。尿素生成による解毒は主に肝臓の働きです。 したがって、正しいものは1です。
オリジナル,48,労働生理,労働生理における膵臓に関する次の記述のうち、不適切なものはどれか。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,疲労は、作業能率の低下や注意力低下の要因となる。,小腸は、消化された栄養素の吸収に重要な役割を果たす。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,白血球は、細菌などに対する生体防御に関与する。,4,インスリンは膵臓から分泌されます。尿素生成による解毒は主に肝臓の働きです。 したがって、誤っているものは4です。
オリジナル,49,労働生理,労働生理における腎臓に関する次の記述のうち、正しいものはどれか。,心筋は随意筋であり、意思によって拍動を停止できる。,眼の水晶体は、音の振動を神経信号に変換する。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,小腸は尿を一時的に貯留する器官である。,3,腎臓は尿生成と体液調節を担います。胆汁を生成するのは肝臓です。 したがって、正しいものは3です。
オリジナル,50,労働生理,労働生理における腎臓に関する次の記述のうち、誤っているものはどれか。,腎臓は胆汁を生成して脂肪の消化を助ける。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,睡眠不足は、注意力や判断力の低下につながることがある。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,1,腎臓は尿生成と体液調節を担います。胆汁を生成するのは肝臓です。 したがって、誤っているものは1です。
オリジナル,51,労働生理,労働生理における腎臓に関する次の記述のうち、適切なものはどれか。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,消化酵素は、肺胞で酸素と二酸化炭素を交換する。,赤血球は抗体を産生して免疫反応の中心となる。,2,腎臓は尿生成と体液調節を担います。胆汁を生成するのは肝臓です。 したがって、正しいものは2です。
オリジナル,52,労働生理,労働生理における腎臓に関する次の記述のうち、不適切なものはどれか。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,中枢神経系は、脳と脊髄から成る。,血小板は、出血時の止血や血液凝固に関与する。,腎臓は胆汁を生成して脂肪の消化を助ける。,5,腎臓は尿生成と体液調節を担います。胆汁を生成するのは肝臓です。 したがって、誤っているものは5です。
オリジナル,53,労働生理,労働生理における骨格筋に関する次の記述のうち、正しいものはどれか。,暑熱時には、皮膚血管が収縮して体熱の放散が促進される。,内耳の蝸牛は、血液中の酸素を運搬する。,ホルモンは消化管内だけに分泌され、血液中には入らない。,骨格筋は随意筋であり、意思によって動かすことができる。,中枢神経系は、末梢の血管とリンパ管だけから成る。,4,骨格筋は随意筋です。心筋や平滑筋は不随意筋に分類されます。 したがって、正しいものは4です。
オリジナル,54,労働生理,労働生理における骨格筋に関する次の記述のうち、誤っているものはどれか。,眼の水晶体は、厚さを変化させて焦点調節に関与する。,骨格筋は不随意筋であり、意思によって全く動かせない。,疲労は、作業能率の低下や注意力低下の要因となる。,小腸は、消化された栄養素の吸収に重要な役割を果たす。,白血球は、細菌などに対する生体防御に関与する。,2,骨格筋は随意筋です。心筋や平滑筋は不随意筋に分類されます。 したがって、誤っているものは2です。
オリジナル,55,労働生理,労働生理における骨格筋に関する次の記述のうち、適切なものはどれか。,眼の水晶体は、音の振動を神経信号に変換する。,疲労は作業能率を必ず上昇させ、災害リスクを低下させる。,骨格筋は随意筋であり、意思によって動かすことができる。,小腸は尿を一時的に貯留する器官である。,白血球は血液凝固の主役であり、血栓を形成する。,3,骨格筋は随意筋です。心筋や平滑筋は不随意筋に分類されます。 したがって、正しいものは3です。
オリジナル,56,労働生理,労働生理における骨格筋に関する次の記述のうち、不適切なものはどれか。,骨格筋は不随意筋であり、意思によって全く動かせない。,睡眠不足は、注意力や判断力の低下につながることがある。,消化酵素は、食物中の栄養素を吸収しやすい形に分解する。,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,肺胞では、肺胞内の酸素が血液中へ移動し、血液中の二酸化炭素が肺胞内へ移動する。,1,骨格筋は随意筋です。心筋や平滑筋は不随意筋に分類されます。 したがって、誤っているものは1です。
オリジナル,57,労働生理,労働生理における心筋に関する次の記述のうち、正しいものはどれか。,発汗が多い作業では、水分摂取を避けるほど熱中症を予防できる。,睡眠不足は、注意力を常に高め、疲労を完全に防止する。,消化酵素は、肺胞で酸素と二酸化炭素を交換する。,赤血球は抗体を産生して免疫反応の中心となる。,心筋は不随意筋であり、規則的な拍動を行う。,5,心筋は不随意筋で、意思で拍動を止めることはできません。 したがって、正しいものは5です。
オリジナル,58,労働生理,労働生理における心筋に関する次の記述のうち、誤っているものはどれか。,内耳の蝸牛は、音の刺激を神経信号に変換する働きに関与する。,ホルモンは内分泌腺から血液中に分泌され、標的器官に作用する。,心筋は随意筋であり、意思によって拍動を停止できる。,中枢神経系は、脳と脊髄から成る。,血小板は、出血時の止血や血液凝固に関与する。,3,心筋は不随意筋で、意思で拍動を止めることはできません。 したがって、誤っているものは3です。
